,Araneae,Dermaptera,Neuroptera,Pseudoescorpion,Coleoptera,Hymenoptera,Diptera,Lepidoptera,Acari,Collembola,Diplopoda,Isopoda,Polydesmida,Spirostreptida ,Hemiptera,Homoptera,Thysanoptera,Blattodea,Orthoptera,Siphonaptera,Psocoptera,Anelide,Cephalospidea,Eupulmonata,Neristopsina,Polydesmida,Pulmonata,Stylommatophora 
Aguacate,0,0,0,0,4,0,2,0,2,0,13,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0
Aji,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cebolla colorada,0,0,0,0,11,42,27,0,1,41,0,0,0,0,1,2,2,0,1,0,7,0,0,0,0,0,0,0
Ciruelo,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col,0,1,0,0,26,2308,32,0,230,3172,1,0,31,15,3,11,2,22,1,0,1,2,1,1,1,31,3,5
Espino,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Floripondio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frejol,0,0,0,0,5,103,20,0,30,1351,0,0,0,6,2,1,2,0,0,0,1,2,0,0,0,0,1,4
Frutales_exoticos,0,0,0,0,4,5,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guaba,0,0,0,0,6,983,1,0,344,66,0,134,23,52,0,0,0,14,0,0,11,0,0,0,0,23,0,0
Guayaba,6,2,13,0,20,241,149,0,72,16,7,1,27,19,0,52,5,23,0,0,14,1,0,0,55,27,4,7
Herbaceas,40,0,2,1,77,1314,1461,1,36,164,0,0,0,0,89,516,59,3,7,1,63,0,0,2,0,0,0,11
Hortalizas_mix,35,3,2,0,199,3221,144,0,107,382,3,23,40,46,3,236,5,8,8,0,7,0,1,6,3,40,1,3
Lechuga,2,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Limon,0,0,0,0,8,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maiz,2,0,2,0,28,154,80,0,10,1062,0,1,5,8,8,6,1,0,5,0,7,0,0,6,0,5,0,0
Mandarina,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mango,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nabo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Naranja,0,0,4,0,21,31,94,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Nogal,0,0,0,0,0,0,229,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otoy,1,0,0,0,9,83,23,0,7,88,0,0,0,1,0,2,1,0,0,0,0,0,0,0,2,2,0,0
Papa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Papaya,0,0,0,0,3,4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pastizal,45,7,0,0,72,924,362,0,130,13913,3,18,225,73,1,292,39,177,23,0,26,6,1,45,8,225,3,29
Pimiento,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Platano,2,1,0,0,26,1693,17,0,240,198,7,6,4,118,3,0,0,0,0,0,3,0,18,15,9,4,0,2
Tomate,2,1,0,0,95,1496,154,0,56,3938,0,0,4,9,25,10,3,2,5,0,2,0,0,0,1,4,1,1
Tomate de arbol,0,0,0,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toronja,0,0,0,0,32,94,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuca ,3,0,0,0,11,7597,38,0,412,0,0,0,0,20,3,9,0,2,0,0,0,0,0,4,0,0,1,0
Zanahoria,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
