"","Isla","Cultivo","Abundancia_Total"
"1","Cristobal","Aguacate",1404.999999976
"2","Cristobal","Braquiaria_",108.999999992
"3","Cristobal","Cana_de_azucar",772.999999905
"4","Cristobal","Cebolla_colorada",5296.999999775
"5","Cristobal","Cilantro",130.000000099
"6","Cristobal","Ciruelo",118.999999998
"7","Cristobal","Col",7117.000000165
"8","Cristobal","Frejol",1465.999999902
"9","Cristobal","Frutales_exoticos",52
"10","Cristobal","Guaba",97.999999988
"11","Cristobal","Guayaba",945.999999974
"12","Cristobal","Herbaceas",348.999999994
"13","Cristobal","Hortalizas_mix",230.999999995
"14","Cristobal","Lechuga",2517.999999894
"15","Cristobal","Limon",98.000000008
"16","Cristobal","Maiz",21017.999999668
"17","Cristobal","Mandarina",739.999999997
"18","Cristobal","Mango",27.999999995
"19","Cristobal","Manzanilla",145
"20","Cristobal","Miconia",404.999999876
"21","Cristobal","Nabo",1060.000000001
"22","Cristobal","Naranja",1078.999999954
"23","Cristobal","Naranjilla",1755.999999682
"24","Cristobal","Papa",159.999999998
"25","Cristobal","Papaya",432.999999998
"26","Cristobal","Pastizal",4776.999999867
"27","Cristobal","Pepino",156.999999897
"28","Cristobal","Pimiento",1844.000000073
"29","Cristobal","Pina",88.000000011
"30","Cristobal","Platano",6659.000000152
"31","Cristobal","Raban-Remol",853.000000297
"32","Cristobal","Sandia",1617.9999999
"33","Cristobal","Tomate",7457.999999859
"34","Cristobal","Tomate_de_arbol",38.000000002
"35","Cristobal","Toronja",83.000000007
"36","Cristobal","Yuca_",6650.999999975
"37","Cristobal","Zanahoria",255.999999992
"38","Cristobal","Zapallo",42.999999997
"39","Cristobal","cafe",3809.999999774
"40","Floreana","Aguacate",142.999999987
"41","Floreana","Cana_de_azucar",1660.999999846
"42","Floreana","Cebolla_colorada",84.999999992
"43","Floreana","Ciruelo",9785.000001001
"44","Floreana","Col",1261.999999981
"45","Floreana","Frejol",112.999999997
"46","Floreana","Frejol_de_arbol",769.000000187
"47","Floreana","Frutales_exoticos",79.99999999
"48","Floreana","Guayaba",122.999999978
"49","Floreana","Herbaceas",42974.99999015
"50","Floreana","Lechuga",125.999999997
"51","Floreana","Limon",115.999999994
"52","Floreana","Maiz",1601.000000077
"53","Floreana","Naranja",81.000000001
"54","Floreana","Papa",7
"55","Floreana","Papaya",3.999999999
"56","Floreana","Pastizal",37860.00000007
"57","Floreana","Pina",1392.999999972
"58","Floreana","Platano",1828.999999565
"59","Floreana","Tomate",1.999999999
"60","Floreana","Yuca_",762.999999965
"61","Floreana","papa",1
"62","Isabela","Aguacate",25.999999996
"63","Isabela","Aji",25
"64","Isabela","Cebolla_colorada",134.999999988
"65","Isabela","Ciruelo",32
"66","Isabela","Col",5868.999999282
"67","Isabela","Espino",11.000000002
"68","Isabela","Floripondio",2
"69","Isabela","Frejol",1527.999999804
"70","Isabela","Frutales_exoticos",138
"71","Isabela","Guaba",1633.999999906
"72","Isabela","Guayaba",733.999999963
"73","Isabela","Herbaceas",3846.999999947
"74","Isabela","Hortalizas_mix",4486.000000185
"75","Isabela","Lechuga",6.999999999
"76","Isabela","Limon",46.000000002
"77","Isabela","Maiz",1385.000000074
"78","Isabela","Mandarina",2.999999999
"79","Isabela","Mango",5
"80","Isabela","Nabo",1.999999999
"81","Isabela","Naranja",151.999999979
"82","Isabela","Nogal",229
"83","Isabela","Otoy",218.999999995
"84","Isabela","Papa",1
"85","Isabela","Papaya",67.999999989
"86","Isabela","Pastizal",16421.999999575
"87","Isabela","Pimiento",8
"88","Isabela","Platano",2361.999999981
"89","Isabela","Tomate",5804.999999462
"90","Isabela","Tomate_de_arbol",11.999999997
"91","Isabela","Toronja",255.999999989
"92","Isabela","Yuca_",8100.000000086
"93","Isabela","Zanahoria",19.999999999
