"Isla","Especie","Total"
"Cristobal","Hypogastruridae_sp._1",46329.999999818
"Cristobal","Wasmannia_auropunctata",13896.999999615
"Cristobal","Galumna_sp.",2721.00000004
"Cristobal","Solenopsis_geminata",1819.999999573
"Cristobal","Aleyrodidae_sp._1",1198.00000021
"Floreana","Wasmannia_auropunctata",83118.999991123
"Floreana","Solenopsis_geminata",6942.000000162
"Floreana","Galumna_sp.",4101.999999758
"Floreana","Seira_sp._1",939.000000002
"Floreana","Drosophila_sp.",875.000000072
"Isabela","Wasmannia_auropunctata",13603.999999999
"Isabela","Hypogastruridae_sp._1",13522.999999697
"Isabela","Xenylla_yucatana",9884.999999079
"Isabela","Solenopsis_geminata",4269.999999644
"Isabela","Galumna_sp.",1196.000000086
